CBO Ocupação 2002;titulo;POTECoriginal;potec;Potec Grupo
131105;Diretor de serviços culturais;Demais Ocupações;Demais Ocupações;Demais Ocupações
131210;Gerente de serviços de saúde;Demais Ocupações;Demais Ocupações;Demais Ocupações
131215;Tecnólogo em gestão hospitalar;Demais Ocupações;Demais Ocupações;Demais Ocupações
131220;Gerontólogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
131225;Sanitarista;Demais Ocupações;Demais Ocupações;Demais Ocupações
131205;Diretor de serviços de saúde;Demais Ocupações;Demais Ocupações;Demais Ocupações
131310;Diretor de instituição educacional pública;Demais Ocupações;Demais Ocupações;Demais Ocupações
131320;Gerente de serviços educacionais da área pública;Demais Ocupações;Demais Ocupações;Demais Ocupações
131305;Diretor de instituição educacional da área privada;Demais Ocupações;Demais Ocupações;Demais Ocupações
131315;Gerente de instituição educacional da área privada;Demais Ocupações;Demais Ocupações;Demais Ocupações
141110;Gerente de produção e operações  florestais;Demais Ocupações;Demais Ocupações;Demais Ocupações
141120;Gerente de produção e operações pesqueiras;Demais Ocupações;Demais Ocupações;Demais Ocupações
141105;Gerente de produção e operações  aqüícolas;Demais Ocupações;Demais Ocupações;Demais Ocupações
141115;Gerente de produção e operações agropecuárias;Demais Ocupações;Demais Ocupações;Demais Ocupações
141205;Gerente de produção e operações;Demais Ocupações;Demais Ocupações;Demais Ocupações
141305;Gerente de produção e operações da construção civil e obras públicas;Demais Ocupações;Demais Ocupações;Demais Ocupações
141420;Gerente de operações de serviços de assistência técnica;Demais Ocupações;Demais Ocupações;Demais Ocupações
141405;Comerciante atacadista;Demais Ocupações;Demais Ocupações;Demais Ocupações
141410;Comerciante varejista;Demais Ocupações;Demais Ocupações;Demais Ocupações
141415;Gerente de loja e supermercado;Demais Ocupações;Demais Ocupações;Demais Ocupações
141505;Gerente de hotel;Demais Ocupações;Demais Ocupações;Demais Ocupações
141525;Gerente de turismo;Demais Ocupações;Demais Ocupações;Demais Ocupações
141520;Gerente de pensão;Demais Ocupações;Demais Ocupações;Demais Ocupações
141515;Gerente de bar;Demais Ocupações;Demais Ocupações;Demais Ocupações
141510;Gerente de restaurante;Demais Ocupações;Demais Ocupações;Demais Ocupações
141610;Gerente de operações de correios e telecomunicações;Demais Ocupações;Demais Ocupações;Demais Ocupações
141605;Gerente de operações de transportes;Demais Ocupações;Demais Ocupações;Demais Ocupações
141615;Gerente de logística (armazenagem e distribuição);Demais Ocupações;Demais Ocupações;Demais Ocupações
141720;Gerente de crédito e cobrança;Demais Ocupações;Demais Ocupações;Demais Ocupações
141725;Gerente de crédito imobiliário;Demais Ocupações;Demais Ocupações;Demais Ocupações
141710;Gerente de agência;Demais Ocupações;Demais Ocupações;Demais Ocupações
141730;Gerente de crédito rural;Demais Ocupações;Demais Ocupações;Demais Ocupações
141705;Gerente de produtos bancários;Demais Ocupações;Demais Ocupações;Demais Ocupações
141715;Gerente de câmbio e comércio exterior;Demais Ocupações;Demais Ocupações;Demais Ocupações
141735;Gerente de recuperação de crédito;Demais Ocupações;Demais Ocupações;Demais Ocupações
142110;Gerente de riscos;Demais Ocupações;Demais Ocupações;Demais Ocupações
142105;Gerente administrativo;Demais Ocupações;Demais Ocupações;Demais Ocupações
142120;Tecnólogo em gestão administrativo- financeira;Demais Ocupações;Demais Ocupações;Demais Ocupações
142115;Gerente financeiro;Demais Ocupações;Demais Ocupações;Demais Ocupações
142210;Gerente de departamento pessoal;Demais Ocupações;Demais Ocupações;Demais Ocupações
142205;Gerente de recursos humanos;Demais Ocupações;Demais Ocupações;Demais Ocupações
142330;Analista de negócios;Demais Ocupações;Demais Ocupações;Demais Ocupações
142325;Relações públicas;Demais Ocupações;Demais Ocupações;Demais Ocupações
142320;Gerente de vendas;Demais Ocupações;Demais Ocupações;Demais Ocupações
142315;Gerente de marketing;Demais Ocupações;Demais Ocupações;Demais Ocupações
142310;Gerente de comunicação;Demais Ocupações;Demais Ocupações;Demais Ocupações
142305;Gerente comercial;Demais Ocupações;Demais Ocupações;Demais Ocupações
142345;Profissional de relações institucionais e governamentais;Demais Ocupações;Demais Ocupações;Demais Ocupações
142335;Analista de pesquisa de mercado;Demais Ocupações;Demais Ocupações;Demais Ocupações
142340;Ouvidor;Demais Ocupações;Demais Ocupações;Demais Ocupações
142415;Gerente de almoxarifado;Demais Ocupações;Demais Ocupações;Demais Ocupações
142405;Gerente de compras;Demais Ocupações;Demais Ocupações;Demais Ocupações
142410;Gerente de suprimentos;Demais Ocupações;Demais Ocupações;Demais Ocupações
142505;Gerente de rede;Demais Ocupações;Demais Ocupações;Demais Ocupações
142535;Tecnólogo em gestão da tecnologia da informação;Demais Ocupações;Demais Ocupações;Demais Ocupações
142515;Gerente de produção de tecnologia da informação;Demais Ocupações;Demais Ocupações;Demais Ocupações
142520;Gerente de projetos de tecnologia da informação;Demais Ocupações;Demais Ocupações;Demais Ocupações
142525;Gerente de segurança de tecnologia da informação;Demais Ocupações;Demais Ocupações;Demais Ocupações
142510;Gerente de desenvolvimento de sistemas;Demais Ocupações;Demais Ocupações;Demais Ocupações
142530;Gerente de suporte técnico de tecnologia da informação;Demais Ocupações;Demais Ocupações;Demais Ocupações
142605;Gerente de pesquisa e desenvolvimento (p&d);Diretores e Gerentes de P&D;Diretores e Gerentes de P&D;Diretores e Gerentes de P&D
142610;Especialista em desenvolvimento de cigarros;Demais Ocupações;Demais Ocupações;Demais Ocupações
142705;Gerente de projetos e serviços de manutenção;Demais Ocupações;Demais Ocupações;Demais Ocupações
142710;Tecnólogo em sistemas biomédicos;Demais Ocupações;Demais Ocupações;Demais Ocupações
201105;Bioengenheiro;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Profissionais Científicos
201110;Biotecnologista;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Profissionais Científicos
201115;Geneticista;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Profissionais Científicos
201225;Especialista em materiais de referência metrológica;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Profissionais Científicos
201220;Especialista em instrumentação metrológica;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Profissionais Científicos
201205;Pesquisador em metrologia;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Profissionais Científicos
201210;Especialista em calibrações metrológicas;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Profissionais Científicos
201215;Especialista em ensaios metrológicos;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Biotecnologistas, geneticistas, pesquisadores em metrologia e especialistas em calibrações metereológicas;Profissionais Científicos
202115;Tecnólogo em mecatrônica;Engenheiros Mecatrônicos;Engenheiros Mecatrônicos;Engenheiros
202110;Engenheiro de controle e automação;Engenheiros Mecatrônicos;Engenheiros Mecatrônicos;Engenheiros
202120;Tecnólogo em automação industrial;Engenheiros Mecatrônicos;Engenheiros Mecatrônicos;Engenheiros
202105;Engenheiro mecatrônico;Engenheiros Mecatrônicos;Engenheiros Mecatrônicos;Engenheiros
203015;Pesquisador em biologia de microorganismos e parasitas;Pesquisadores;Pesquisadores;Pesquisadores
203010;Pesquisador em biologia animal;Pesquisadores;Pesquisadores;Pesquisadores
203025;Pesquisador em biologia vegetal;Pesquisadores;Pesquisadores;Pesquisadores
203020;Pesquisador em biologia humana;Pesquisadores;Pesquisadores;Pesquisadores
203005;Pesquisador em biologia ambiental;Pesquisadores;Pesquisadores;Pesquisadores
203115;Pesquisador em física;Pesquisadores;Pesquisadores;Pesquisadores
203105;Pesquisador em ciências da computação e informática;Pesquisadores;Pesquisadores;Pesquisadores
203125;Pesquisador em química;Pesquisadores;Pesquisadores;Pesquisadores
203120;Pesquisador em matemática;Pesquisadores;Pesquisadores;Pesquisadores
203110;Pesquisador em ciências da terra e meio ambiente;Pesquisadores;Pesquisadores;Pesquisadores
203215;Pesquisador de engenharia elétrica e eletrônica;Pesquisadores;Pesquisadores;Pesquisadores
203205;Pesquisador de engenharia civil;Pesquisadores;Pesquisadores;Pesquisadores
203225;Pesquisador de engenharia metalúrgica, de minas e de materiais;Pesquisadores;Pesquisadores;Pesquisadores
203230;Pesquisador de engenharia química;Pesquisadores;Pesquisadores;Pesquisadores
203220;Pesquisador de engenharia mecânica;Pesquisadores;Pesquisadores;Pesquisadores
203210;Pesquisador de engenharia e tecnologia (outras áreas da engenharia);Pesquisadores;Pesquisadores;Pesquisadores
203310;Pesquisador de medicina básica;Pesquisadores;Pesquisadores;Pesquisadores
203320;Pesquisador em saúde coletiva;Pesquisadores;Pesquisadores;Pesquisadores
203305;Pesquisador de clínica médica;Pesquisadores;Pesquisadores;Pesquisadores
203315;Pesquisador em medicina veterinária;Pesquisadores;Pesquisadores;Pesquisadores
203410;Pesquisador em ciências da pesca e aqüicultura;Pesquisadores;Pesquisadores;Pesquisadores
203405;Pesquisador em ciências agronômicas;Pesquisadores;Pesquisadores;Pesquisadores
203415;Pesquisador em ciências da zootecnia;Pesquisadores;Pesquisadores;Pesquisadores
203420;Pesquisador em ciências florestais;Pesquisadores;Pesquisadores;Pesquisadores
203525;Pesquisador em psicologia;Pesquisadores;Pesquisadores;Pesquisadores
203520;Pesquisador em história;Pesquisadores;Pesquisadores;Pesquisadores
203515;Pesquisador em ciências da educação;Pesquisadores;Pesquisadores;Pesquisadores
203510;Pesquisador em economia;Pesquisadores;Pesquisadores;Pesquisadores
203505;Pesquisador em ciências sociais e humanas;Pesquisadores;Pesquisadores;Pesquisadores
204105;Perito criminal;Demais Ocupações;Demais Ocupações;Demais Ocupações
211105;Atuário;Matemáticos, estatísticos e afins;Matemáticos, estatísticos e afins;Profissionais Científicos
211120;Matemático aplicado;Matemáticos, estatísticos e afins;Matemáticos, estatísticos e afins;Profissionais Científicos
211115;Matemático;Matemáticos, estatísticos e afins;Matemáticos, estatísticos e afins;Profissionais Científicos
211110;Especialista em pesquisa operacional;Matemáticos, estatísticos e afins;Matemáticos, estatísticos e afins;Profissionais Científicos
211215;Estatístico teórico;Matemáticos, estatísticos e afins;Matemáticos, estatísticos e afins;Profissionais Científicos
211210;Estatístico (estatística aplicada);Matemáticos, estatísticos e afins;Matemáticos, estatísticos e afins;Profissionais Científicos
211205;Estatístico;Matemáticos, estatísticos e afins;Matemáticos, estatísticos e afins;Profissionais Científicos
212205;Engenheiro de aplicativos em computação;Profissionais da Informática;Profissionais da Informática;Profissionais Científicos
212210;Engenheiro de equipamentos em computação;Profissionais da Informática;Profissionais da Informática;Profissionais Científicos
212215;Engenheiros de sistemas operacionais em computação;Profissionais da Informática;Profissionais da Informática;Profissionais Científicos
212315;Administrador de sistemas operacionais;Profissionais da Informática;Profissionais da Informática;Profissionais Científicos
212320;Administrador em segurança da informação;Profissionais da Informática;Profissionais da Informática;Profissionais Científicos
212305;Administrador de banco de dados;Profissionais da Informática;Profissionais da Informática;Profissionais Científicos
212310;Administrador de redes;Profissionais da Informática;Profissionais da Informática;Profissionais Científicos
212405;Analista de desenvolvimento de sistemas;Profissionais da Informática;Profissionais da Informática;Profissionais Científicos
212410;Analista de redes e de comunicação de dados;Profissionais da Informática;Profissionais da Informática;Profissionais Científicos
212415;Analista de sistemas de automação;Profissionais da Informática;Profissionais da Informática;Profissionais Científicos
212420;Analista de suporte computacional;Profissionais da Informática;Profissionais da Informática;Profissionais Científicos
213165;Físico (partículas e campos);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213160;Físico (óptica);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213155;Físico (nuclear e reatores);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213150;Físico (medicina);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213145;Físico (materiais);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213125;Físico (estatística e matemática);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213110;Físico (acústica);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213105;Físico;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213140;Físico (matéria condensada);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213170;Físico (plasma);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213175;Físico (térmica);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213135;Físico (instrumentação);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213130;Físico (fluidos);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213120;Físico (cosmologia);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213115;Físico (atômica e molecular);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213215;Tecnólogo em processos químicos;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213210;Químico industrial;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213205;Químico;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213305;Astrônomo;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213315;Meteorologista;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213310;Geofísico espacial;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213425;Hidrogeólogo;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213430;Paleontólogo;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213435;Petrógrafo;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213440;Oceanógrafo;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213405;Geólogo;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213410;Geólogo de engenharia;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213415;Geofísico;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
213420;Geoquímico;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
214005;Engenheiro ambiental;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214010;Tecnólogo em meio ambiente;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
214130;Urbanista;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
