CBO 94 Ocupação;CBO 02;nomenclatura;POTECoriginal;potec;Potec Grupo
02720;214705;Engenheiro de minas (carvão);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02730;214705;Engenheiro de minas (minerais metálicos);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02740;214705;Engenheiro de minas (petróleo);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02750;213405;Geólogo;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
02760;214705;Engenheiro de Minas (Concentra|`o);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02790;214705;Outros engenheiros de minas e geólogos;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02810;214905;Engenheiro de organização e métodos, em geral;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02830;214925;Engenheiro de tempos e movimentos;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02840;214915;Engenheiro de segurança do trabalho;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02850;214910;Engenheiro de controle de qualidade;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02890;214905;Outros engenheiros de organização e métodos;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02920;214605;Engenheiro de cerâmica e vidros;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02935;214805;Engenheiro agrimensor;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02940;214505;Engenheiro tecnólogo de alimentos e bebidas;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02950;214255;Engenheiro de tráfego;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02960;203210;Engenheiro Pesquisador;Pesquisadores;Pesquisadores;Pesquisadores
02990;214355;Outros engenheiros, arquitetos e trabalhadores assemelhados não-classificados sob outras epígrafes;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros Civis etc
03020;351105;Técnico de contabilidade;Demais Ocupações;Demais Ocupações;Demais Ocupações
03030;424125;Técnico de estatística;Demais Ocupações;Demais Ocupações;Demais Ocupações
03040;351305;Técnico de economia doméstica;Demais Ocupações;Demais Ocupações;Demais Ocupações
