CBO Ocupação 2002;potec
214910;Engenheiros Civis etc
214915;Engenheiros Civis etc
214920;Engenheiros Civis etc
214925;Engenheiros Civis etc
214930;Engenheiros Civis etc
214935;Engenheiros Civis etc
214940;Engenheiros Civis etc
214945;Engenheiros Civis etc
215105;Demais Ocupações
215110;Demais Ocupações
215115;Demais Ocupações
215120;Demais Ocupações
215125;Demais Ocupações
215130;Demais Ocupações
215135;Demais Ocupações
215140;Demais Ocupações
215145;Demais Ocupações
215150;Demais Ocupações
215205;Demais Ocupações
215210;Demais Ocupações
215215;Demais Ocupações
215220;Demais Ocupações
215305;Demais Ocupações
215310;Demais Ocupações
215315;Demais Ocupações
221105;Biólogos e biomédicos
221205;Biólogos e biomédicos
222105;Engenheiros agrônomos, de alimentos, florestais e de pesca
222110;Engenheiros agrônomos, de alimentos, florestais e de pesca
222115;Engenheiros agrônomos, de alimentos, florestais e de pesca
222120;Engenheiros agrônomos, de alimentos, florestais e de pesca
222205;Engenheiros agrônomos, de alimentos, florestais e de pesca
222215;Engenheiros agrônomos, de alimentos, florestais e de pesca
223106;Demais Ocupações
223112;Demais Ocupações
223114;Demais Ocupações
223115;Demais Ocupações
223116;Demais Ocupações
223117;Demais Ocupações
223118;Demais Ocupações
223120;Demais Ocupações
223122;Demais Ocupações
223124;Demais Ocupações
223125;Demais Ocupações
223128;Demais Ocupações
223129;Demais Ocupações
223132;Demais Ocupações
223133;Demais Ocupações
223138;Demais Ocupações
223139;Demais Ocupações
223140;Demais Ocupações
223141;Demais Ocupações
223142;Demais Ocupações
223145;Demais Ocupações
223146;Demais Ocupações
223148;Demais Ocupações
223149;Demais Ocupações
223151;Demais Ocupações
223153;Demais Ocupações
223204;Demais Ocupações
223208;Demais Ocupações
223212;Demais Ocupações
223216;Demais Ocupações
223220;Demais Ocupações
223224;Demais Ocupações
223228;Demais Ocupações
223232;Demais Ocupações
223236;Demais Ocupações
223240;Demais Ocupações
223244;Demais Ocupações
223248;Demais Ocupações
223252;Demais Ocupações
223256;Demais Ocupações
223260;Demais Ocupações
223264;Demais Ocupações
223268;Demais Ocupações
223272;Demais Ocupações
223276;Demais Ocupações
223280;Demais Ocupações
223284;Demais Ocupações
223288;Demais Ocupações
223293;Demais Ocupações
223305;Demais Ocupações
223310;Demais Ocupações
223405;Demais Ocupações
223410;Demais Ocupações
223415;Demais Ocupações
223420;Demais Ocupações
223425;Demais Ocupações
223430;Demais Ocupações
223435;Demais Ocupações
223440;Demais Ocupações
223445;Demais Ocupações
223505;Demais Ocupações
223510;Demais Ocupações
223515;Demais Ocupações
223520;Demais Ocupações
223525;Demais Ocupações
223530;Demais Ocupações
223535;Demais Ocupações
223540;Demais Ocupações
223545;Demais Ocupações
223550;Demais Ocupações
223555;Demais Ocupações
223560;Demais Ocupações
223565;Demais Ocupações
