1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM);Vl Remun Dezembro (SM)
Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM);Vl Remun Média (SM)
Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12;Vínculo Ativo 31/12
;CBO 94 Ocupação;CBO 94 Ocupação;CBO 94 Ocupação;CBO 94 Ocupação;CBO 94 Ocupação;CBO 94 Ocupação;CBO 94 Ocupação;CBO 94 Ocupação;CBO 94 Ocupação;;;;;;;;;;;;;;;
;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe;CNAE 95 Classe
;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade;Idade
;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica;Natureza Jurídica
;;;;;;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom;Vl Remun Dezembro Nom
;;;;;;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom;Vl Remun Média Nom
;;;;;;;;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples;Ind Simples
