,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
33,,,,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF,Regiões Adm DF
34,,,,,,,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado,Ind CEI Vinculado
35,,,,,,,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom,Vl Remun Dezembro Nom
36,,,,,,,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom,Vl Remun Média Nom
37,,,,,,,,,Ind Simples,Ind Simples,Ind Simples,Ind Simples,Ind Simples,Ind Simples,Ind Simples,Ind Simples,Ind Simples,Ind Simples,Ind Simples,Ind Simples,Ind Simples,Ind Simples,Ind Simples,Ind Simples,Ind Simples
38,,,,,,,,,,Causa Afastamento 1,Causa Afastamento 1,Causa Afastamento 1,Causa Afastamento 1,Causa Afastamento 1,Causa Afastamento 1,Causa Afastamento 1,Causa Afastamento 1,Causa Afastamento 1,Causa Afastamento 1,Causa Afastamento 1,Causa Afastamento 1,Causa Afastamento 1,Causa Afastamento 1,Causa Afastamento 1,Causa Afastamento 1
39,,,,,,,,,,Causa Afastamento 2,Causa Afastamento 2,Causa Afastamento 2,Causa Afastamento 2,Causa Afastamento 2,Causa Afastamento 2,Causa Afastamento 2,Causa Afastamento 2,Causa Afastamento 2,Causa Afastamento 2,Causa Afastamento 2,Causa Afastamento 2,Causa Afastamento 2,Causa Afastamento 2,Causa Afastamento 2,Causa Afastamento 2
40,,,,,,,,,,Causa Afastamento 3,Causa Afastamento 3,Causa Afastamento 3,Causa Afastamento 3,Causa Afastamento 3,Causa Afastamento 3,Causa Afastamento 3,Causa Afastamento 3,Causa Afastamento 3,Causa Afastamento 3,Causa Afastamento 3,Causa Afastamento 3,Causa Afastamento 3,Causa Afastamento 3,Causa Afastamento 3,Causa Afastamento 3
41,,,,,,,,,,Mun Trab,Mun Trab,Mun Trab,Mun Trab,Mun Trab,Mun Trab,Mun Trab,Mun Trab,Mun Trab,Mun Trab,Mun Trab,Mun Trab,Mun Trab,Mun Trab,Mun Trab,Mun Trab
42,,,,,,,,,,Qtd Dias Afastamento,Qtd Dias Afastamento,Qtd Dias Afastamento,Qtd Dias Afastamento,Qtd Dias Afastamento,Qtd Dias Afastamento,Qtd Dias Afastamento,Qtd Dias Afastamento,Qtd Dias Afastamento,Qtd Dias Afastamento,Qtd Dias Afastamento,Qtd Dias Afastamento,Qtd Dias Afastamento,Qtd Dias Afastamento,Qtd Dias Afastamento,Qtd Dias Afastamento
