Cod Município;Território
1508100;Demais Municípios do Pará
1508126;Demais Municípios do Pará
1508159;Demais Municípios do Pará
1508209;Demais Municípios do Pará
1508308;Demais Municípios do Pará
1508357;Demais Municípios do Pará
1508407;Demais Municípios do Pará
1600055;Demais Municípios do Amapá
1600105;Demais Municípios do Amapá
1600154;Demais Municípios do Amapá
1600204;Demais Municípios do Amapá
1600212;Demais Municípios do Amapá
1600238;Demais Municípios do Amapá
1600253;Demais Municípios do Amapá
1600279;Demais Municípios do Amapá
1600303;Demais Municípios do Amapá
1600402;Demais Municípios do Amapá
1600501;Demais Municípios do Amapá
1600535;Demais Municípios do Amapá
1600550;Demais Municípios do Amapá
1600600;Demais Municípios do Amapá
1600709;Demais Municípios do Amapá
1600808;Demais Municípios do Amapá
1700251;Demais Municípios de Tocantins
1700301;Demais Municípios de Tocantins
1700350;Demais Municípios de Tocantins
1700400;Demais Municípios de Tocantins
1700707;Demais Municípios de Tocantins
1701002;Demais Municípios de Tocantins
1701051;Demais Municípios de Tocantins
1701101;Demais Municípios de Tocantins
1701309;Demais Municípios de Tocantins
1701903;Demais Municípios de Tocantins
1702000;Demais Municípios de Tocantins
1702109;Demais Municípios de Tocantins
1702158;Demais Municípios de Tocantins
1702208;Demais Municípios de Tocantins
1702307;Demais Municípios de Tocantins
1702406;Demais Municípios de Tocantins
1702554;Demais Municípios de Tocantins
1702703;Demais Municípios de Tocantins
1702901;Demais Municípios de Tocantins
1703008;Demais Municípios de Tocantins
1703057;Demais Municípios de Tocantins
1703073;Demais Municípios de Tocantins
1703107;Demais Municípios de Tocantins
1703206;Demais Municípios de Tocantins
1703305;Demais Municípios de Tocantins
1703602;Demais Municípios de Tocantins
1703701;Demais Municípios de Tocantins
1703800;Demais Municípios de Tocantins
1703826;Demais Municípios de Tocantins
1703842;Demais Municípios de Tocantins
1703867;Demais Municípios de Tocantins
1703883;Demais Municípios de Tocantins
1703891;Demais Municípios de Tocantins
1703909;Demais Municípios de Tocantins
1704105;Demais Municípios de Tocantins
1704600;Demais Municípios de Tocantins
1705102;Demais Municípios de Tocantins
1705508;Demais Municípios de Tocantins
1705557;Demais Municípios de Tocantins
1705607;Demais Municípios de Tocantins
1706001;Demais Municípios de Tocantins
1706100;Demais Municípios de Tocantins
1706258;Demais Municípios de Tocantins
1706506;Demais Municípios de Tocantins
1707009;Demais Municípios de Tocantins
1707108;Demais Municípios de Tocantins
1707207;Demais Municípios de Tocantins
1707306;Demais Municípios de Tocantins
1707405;Demais Municípios de Tocantins
1707553;Demais Municípios de Tocantins
1707652;Demais Municípios de Tocantins
1707702;Demais Municípios de Tocantins
1708205;Demais Municípios de Tocantins
1708254;Demais Municípios de Tocantins
1708304;Demais Municípios de Tocantins
1709005;Demais Municípios de Tocantins
1709302;Demais Municípios de Tocantins
1709500;Demais Municípios de Tocantins
1709807;Demais Municípios de Tocantins
1710508;Demais Municípios de Tocantins
1710706;Demais Municípios de Tocantins
1710904;Demais Municípios de Tocantins
1711100;Demais Municípios de Tocantins
1711506;Demais Municípios de Tocantins
1711803;Demais Municípios de Tocantins
1711902;Demais Municípios de Tocantins
1711951;Demais Municípios de Tocantins
1712009;Demais Municípios de Tocantins
1712157;Demais Municípios de Tocantins
1712405;Demais Municípios de Tocantins
1712454;Demais Municípios de Tocantins
1712504;Demais Municípios de Tocantins
1712702;Demais Municípios de Tocantins
1712801;Demais Municípios de Tocantins
1713205;Demais Municípios de Tocantins
1713304;Demais Municípios de Tocantins
1713601;Demais Municípios de Tocantins
1713700;Demais Municípios de Tocantins
1713809;Demais Municípios de Tocantins
1713957;Demais Municípios de Tocantins
1714203;Demais Municípios de Tocantins
1714302;Demais Municípios de Tocantins
1714880;Demais Municípios de Tocantins
1715002;Demais Municípios de Tocantins
1715101;Demais Municípios de Tocantins
1715150;Demais Municípios de Tocantins
1715259;Demais Municípios de Tocantins
1715507;Demais Municípios de Tocantins
1715705;Demais Municípios de Tocantins
1715754;Demais Municípios de Tocantins
1716109;Demais Municípios de Tocantins
1716208;Demais Municípios de Tocantins
1716307;Demais Municípios de Tocantins
1716505;Demais Municípios de Tocantins
1716604;Demais Municípios de Tocantins
1716653;Demais Municípios de Tocantins
1716703;Demais Municípios de Tocantins
1717008;Demais Municípios de Tocantins
1717206;Demais Municípios de Tocantins
1717503;Demais Municípios de Tocantins
1717800;Demais Municípios de Tocantins
1717909;Demais Municípios de Tocantins
1718006;Demais Municípios de Tocantins
1718204;Demais Municípios de Tocantins
1718303;Demais Municípios de Tocantins
1718402;Demais Municípios de Tocantins
1718451;Demais Municípios de Tocantins
1718501;Demais Municípios de Tocantins
1718550;Demais Municípios de Tocantins
1718659;Demais Municípios de Tocantins
1718709;Demais Municípios de Tocantins
1718758;Demais Municípios de Tocantins
1718808;Demais Municípios de Tocantins
1718840;Demais Municípios de Tocantins
1718865;Demais Municípios de Tocantins
1718881;Demais Municípios de Tocantins
1718899;Demais Municípios de Tocantins
1718907;Demais Municípios de Tocantins
1719004;Demais Municípios de Tocantins
1720002;Demais Municípios de Tocantins
1720101;Demais Municípios de Tocantins
1720150;Demais Municípios de Tocantins
1720200;Demais Municípios de Tocantins
1720259;Demais Municípios de Tocantins
1720309;Demais Municípios de Tocantins
1720499;Demais Municípios de Tocantins
1720655;Demais Municípios de Tocantins
1720804;Demais Municípios de Tocantins
1720853;Demais Municípios de Tocantins
1720903;Demais Municípios de Tocantins
1720937;Demais Municípios de Tocantins
1720978;Demais Municípios de Tocantins
1721000;Demais Municípios de Tocantins
1721109;Demais Municípios de Tocantins
1721208;Demais Municípios de Tocantins
1721257;Demais Municípios de Tocantins
1721307;Demais Municípios de Tocantins
1722081;Demais Municípios de Tocantins
1722107;Demais Municípios de Tocantins
2100055;Demais Municípios do Maranhão
2100105;Demais Municípios do Maranhão
2100154;Demais Municípios do Maranhão
2100204;Demais Municípios do Maranhão
2100303;Demais Municípios do Maranhão
2100402;Demais Municípios do Maranhão
2100436;Demais Municípios do Maranhão
2100477;Demais Municípios do Maranhão
2100501;Demais Municípios do Maranhão
2100550;Demais Municípios do Maranhão
2100600;Demais Municípios do Maranhão
2100709;Demais Municípios do Maranhão
2100808;Demais Municípios do Maranhão
2100832;Demais Municípios do Maranhão
2100873;Demais Municípios do Maranhão
2100907;Demais Municípios do Maranhão
2100956;Demais Municípios do Maranhão
2101004;Demais Municípios do Maranhão
2101103;Demais Municípios do Maranhão
2101202;Demais Municípios do Maranhão
2101251;Demais Municípios do Maranhão
2101301;Demais Municípios do Maranhão
2101350;Demais Municípios do Maranhão
2101400;Demais Municípios do Maranhão
2101509;Demais Municípios do Maranhão
2101608;Demais Municípios do Maranhão
2101707;Demais Municípios do Maranhão
2101731;Demais Municípios do Maranhão
2101772;Demais Municípios do Maranhão
2101806;Demais Municípios do Maranhão
2101905;Demais Municípios do Maranhão
2101939;Demais Municípios do Maranhão
2101970;Demais Municípios do Maranhão
2102002;Demais Municípios do Maranhão
2102036;Demais Municípios do Maranhão
2102077;Demais Municípios do Maranhão
2102101;Demais Municípios do Maranhão
2102150;Demais Municípios do Maranhão
2102200;Demais Municípios do Maranhão
2102309;Demais Municípios do Maranhão
2102325;Demais Municípios do Maranhão
2102358;Demais Municípios do Maranhão
2102374;Demais Municípios do Maranhão
2102408;Demais Municípios do Maranhão
2102507;Demais Municípios do Maranhão
2102556;Demais Municípios do Maranhão
2102606;Demais Municípios do Maranhão
2102705;Demais Municípios do Maranhão
2102754;Demais Municípios do Maranhão
2102804;Demais Municípios do Maranhão
2102903;Demais Municípios do Maranhão
2103000;Demais Municípios do Maranhão
2103109;Demais Municípios do Maranhão
2103125;Demais Municípios do Maranhão
2103158;Demais Municípios do Maranhão
2103174;Demais Municípios do Maranhão
2103208;Demais Municípios do Maranhão
2103257;Demais Municípios do Maranhão
2103307;Demais Municípios do Maranhão
2103406;Demais Municípios do Maranhão
2103505;Demais Municípios do Maranhão
2103554;Demais Municípios do Maranhão
2103604;Demais Municípios do Maranhão
2103703;Demais Municípios do Maranhão
2103752;Demais Municípios do Maranhão
2103802;Demais Municípios do Maranhão
2103901;Demais Municípios do Maranhão
2104008;Demais Municípios do Maranhão
2104057;Demais Municípios do Maranhão
2104073;Demais Municípios do Maranhão
2104081;Demais Municípios do Maranhão
2104099;Demais Municípios do Maranhão
2104107;Demais Municípios do Maranhão
2104206;Demais Municípios do Maranhão
2104305;Demais Municípios do Maranhão
2104404;Demais Municípios do Maranhão
2104503;Demais Municípios do Maranhão
2104552;Demais Municípios do Maranhão
2104602;Demais Municípios do Maranhão
2104628;Demais Municípios do Maranhão
2104651;Demais Municípios do Maranhão
2104677;Demais Municípios do Maranhão
2104701;Demais Municípios do Maranhão
2104800;Demais Municípios do Maranhão
2104909;Demais Municípios do Maranhão
2105005;Demais Municípios do Maranhão
2105104;Demais Municípios do Maranhão
2105153;Demais Municípios do Maranhão
2105203;Demais Municípios do Maranhão
2105302;Demais Municípios do Maranhão
2105351;Demais Municípios do Maranhão
2105401;Demais Municípios do Maranhão
2105427;Demais Municípios do Maranhão
2105450;Demais Municípios do Maranhão
2105476;Demais Municípios do Maranhão
2105500;Demais Municípios do Maranhão
2105609;Demais Municípios do Maranhão
2105658;Demais Municípios do Maranhão
2105708;Demais Municípios do Maranhão
2105807;Demais Municípios do Maranhão
2105906;Demais Municípios do Maranhão
2105922;Demais Municípios do Maranhão
2105948;Demais Municípios do Maranhão
2105963;Demais Municípios do Maranhão
2105989;Demais Municípios do Maranhão
2106003;Demais Municípios do Maranhão
2106102;Demais Municípios do Maranhão
2106201;Demais Municípios do Maranhão
2106300;Demais Municípios do Maranhão
2106326;Demais Municípios do Maranhão
2106359;Demais Municípios do Maranhão
2106375;Demais Municípios do Maranhão
2106409;Demais Municípios do Maranhão
2106508;Demais Municípios do Maranhão
2106607;Demais Municípios do Maranhão
2106631;Demais Municípios do Maranhão
2106672;Demais Municípios do Maranhão
2106706;Demais Municípios do Maranhão
2106755;Demais Municípios do Maranhão
2106805;Demais Municípios do Maranhão
2106904;Demais Municípios do Maranhão
2107001;Demais Municípios do Maranhão
2107100;Demais Municípios do Maranhão
2107209;Demais Municípios do Maranhão
2107258;Demais Municípios do Maranhão
2107308;Demais Municípios do Maranhão
2107357;Demais Municípios do Maranhão
2107407;Demais Municípios do Maranhão
2107456;Demais Municípios do Maranhão
2107506;Demais Municípios do Maranhão
2107605;Demais Municípios do Maranhão
2107704;Demais Municípios do Maranhão
2107803;Demais Municípios do Maranhão
2107902;Demais Municípios do Maranhão
2108009;Demais Municípios do Maranhão
2108058;Demais Municípios do Maranhão
2108108;Demais Municípios do Maranhão
2108207;Demais Municípios do Maranhão
2108256;Demais Municípios do Maranhão
2108306;Demais Municípios do Maranhão
2108405;Demais Municípios do Maranhão
2108454;Demais Municípios do Maranhão
2108504;Demais Municípios do Maranhão
2108603;Demais Municípios do Maranhão
2108702;Demais Municípios do Maranhão
2108801;Demais Municípios do Maranhão
2108900;Demais Municípios do Maranhão
2109007;Demais Municípios do Maranhão
2109056;Demais Municípios do Maranhão
2109106;Demais Municípios do Maranhão
2109205;Demais Municípios do Maranhão
2109239;Demais Municípios do Maranhão
2109270;Demais Municípios do Maranhão
2109304;Demais Municípios do Maranhão
2109403;Demais Municípios do Maranhão
2109452;Demais Municípios do Maranhão
2109502;Demais Municípios do Maranhão
2109551;Demais Municípios do Maranhão
2109601;Demais Municípios do Maranhão
2109700;Demais Municípios do Maranhão
2109759;Demais Municípios do Maranhão
2109809;Demais Municípios do Maranhão
2109908;Demais Municípios do Maranhão
2110005;Demais Municípios do Maranhão
2110039;Demais Municípios do Maranhão
2110104;Demais Municípios do Maranhão
2110203;Demais Municípios do Maranhão
2110237;Demais Municípios do Maranhão
2110278;Demais Municípios do Maranhão
2110302;Demais Municípios do Maranhão
2110401;Demais Municípios do Maranhão
2110500;Demais Municípios do Maranhão
2110609;Demais Municípios do Maranhão
2110658;Demais Municípios do Maranhão
2110708;Demais Municípios do Maranhão
2110807;Demais Municípios do Maranhão
2110856;Demais Municípios do Maranhão
2110906;Demais Municípios do Maranhão
2111003;Demais Municípios do Maranhão
2111029;Demais Municípios do Maranhão
2111052;Demais Municípios do Maranhão
2111078;Demais Municípios do Maranhão
2111102;Demais Municípios do Maranhão
2111201;Demais Municípios do Maranhão
2111250;Demais Municípios do Maranhão
2111300;Demais Municípios do Maranhão
2111409;Demais Municípios do Maranhão
2111508;Demais Municípios do Maranhão
2111532;Demais Municípios do Maranhão
2111573;Demais Municípios do Maranhão
2111607;Demais Municípios do Maranhão
2111631;Demais Municípios do Maranhão
2111672;Demais Municípios do Maranhão
2111706;Demais Municípios do Maranhão
2111722;Demais Municípios do Maranhão
2111748;Demais Municípios do Maranhão
2111763;Demais Municípios do Maranhão
2111789;Demais Municípios do Maranhão
2111805;Demais Municípios do Maranhão
2111904;Demais Municípios do Maranhão
2111953;Demais Municípios do Maranhão
2112001;Demais Municípios do Maranhão
2112100;Demais Municípios do Maranhão
2112209;Demais Municípios do Maranhão
2112233;Demais Municípios do Maranhão
2112274;Demais Municípios do Maranhão
2112308;Demais Municípios do Maranhão
2112407;Demais Municípios do Maranhão
2112456;Demais Municípios do Maranhão
2112506;Demais Municípios do Maranhão
2112605;Demais Municípios do Maranhão
2112704;Demais Municípios do Maranhão
2112803;Demais Municípios do Maranhão
2112852;Demais Municípios do Maranhão
2112902;Demais Municípios do Maranhão
2113009;Demais Municípios do Maranhão
2114007;Demais Municípios do Maranhão
2200053;Demais Municípios do Piauí
2200103;Demais Municípios do Piauí
2200202;Demais Municípios do Piauí
2200251;Demais Municípios do Piauí
2200277;Demais Municípios do Piauí
2200301;Demais Municípios do Piauí
2200400;Demais Municípios do Piauí
2200459;Demais Municípios do Piauí
2200509;Demais Municípios do Piauí
2200608;Demais Municípios do Piauí
2200707;Demais Municípios do Piauí
2200806;Demais Municípios do Piauí
2200905;Demais Municípios do Piauí
2200954;Demais Municípios do Piauí
2201002;Demais Municípios do Piauí
2201051;Demais Municípios do Piauí
2201101;Demais Municípios do Piauí
2201150;Demais Municípios do Piauí
2201176;Demais Municípios do Piauí
2201200;Demais Municípios do Piauí
2201309;Demais Municípios do Piauí
2201408;Demais Municípios do Piauí
2201507;Demais Municípios do Piauí
2201556;Demais Municípios do Piauí
2201572;Demais Municípios do Piauí
2201606;Demais Municípios do Piauí
2201705;Demais Municípios do Piauí
2201739;Demais Municípios do Piauí
2201770;Demais Municípios do Piauí
2201804;Demais Municípios do Piauí
2201903;Demais Municípios do Piauí
2201919;Demais Municípios do Piauí
2201929;Demais Municípios do Piauí
2201945;Demais Municípios do Piauí
2201960;Demais Municípios do Piauí
2201988;Demais Municípios do Piauí
2202000;Demais Municípios do Piauí
2202026;Demais Municípios do Piauí
2202059;Demais Municípios do Piauí
2202075;Demais Municípios do Piauí
2202083;Demais Municípios do Piauí
2202091;Demais Municípios do Piauí
2202109;Demais Municípios do Piauí
2202117;Demais Municípios do Piauí
2202133;Demais Municípios do Piauí
2202174;Demais Municípios do Piauí
2202208;Demais Municípios do Piauí
2202251;Demais Municípios do Piauí
2202307;Demais Municípios do Piauí
2202406;Demais Municípios do Piauí
2202455;Demais Municípios do Piauí
2202505;Demais Municípios do Piauí
2202539;Demais Municípios do Piauí
2202554;Demais Municípios do Piauí
2202604;Demais Municípios do Piauí
2202653;Demais Municípios do Piauí
2202703;Demais Municípios do Piauí
2202711;Demais Municípios do Piauí
2202729;Demais Municípios do Piauí
2202737;Demais Municípios do Piauí
2202752;Demais Municípios do Piauí
2202778;Demais Municípios do Piauí
2202802;Demais Municípios do Piauí
2202851;Demais Municípios do Piauí
2202901;Demais Municípios do Piauí
2203008;Demais Municípios do Piauí
2203107;Demais Municípios do Piauí
2203206;Demais Municípios do Piauí
2203230;Demais Municípios do Piauí
2203255;Demais Municípios do Piauí
2203271;Demais Municípios do Piauí
2203305;Demais Municípios do Piauí
2203354;Demais Municípios do Piauí
2203404;Demais Municípios do Piauí
2203420;Demais Municípios do Piauí
2203453;Demais Municípios do Piauí
2203503;Demais Municípios do Piauí
2203602;Demais Municípios do Piauí
2203701;Demais Municípios do Piauí
2203750;Demais Municípios do Piauí
2203800;Demais Municípios do Piauí
2203859;Demais Municípios do Piauí
2203909;Demais Municípios do Piauí
2204006;Demais Municípios do Piauí
2204105;Demais Municípios do Piauí
2204154;Demais Municípios do Piauí
2204204;Demais Municípios do Piauí
2204303;Demais Municípios do Piauí
2204352;Demais Municípios do Piauí
2204402;Demais Municípios do Piauí
2204501;Demais Municípios do Piauí
2204550;Demais Municípios do Piauí
2204600;Demais Municípios do Piauí
2204659;Demais Municípios do Piauí
2204709;Demais Municípios do Piauí
2204808;Demais Municípios do Piauí
2204907;Demais Municípios do Piauí
2205003;Demais Municípios do Piauí
2205102;Demais Municípios do Piauí
2205151;Demais Municípios do Piauí
2205201;Demais Municípios do Piauí
2205250;Demais Municípios do Piauí
2205276;Demais Municípios do Piauí
2205300;Demais Municípios do Piauí
2205359;Demais Municípios do Piauí
2205409;Demais Municípios do Piauí
2205458;Demais Municípios do Piauí
2205508;Demais Municípios do Piauí
2205516;Demais Municípios do Piauí
2205524;Demais Municípios do Piauí
2205532;Demais Municípios do Piauí
2205540;Demais Municípios do Piauí
2205557;Demais Municípios do Piauí
2205565;Demais Municípios do Piauí
2205573;Demais Municípios do Piauí
2205581;Demais Municípios do Piauí
2205599;Demais Municípios do Piauí
2205607;Demais Municípios do Piauí
2205706;Demais Municípios do Piauí
2205805;Demais Municípios do Piauí
2205854;Demais Municípios do Piauí
2205904;Demais Municípios do Piauí
2205953;Demais Municípios do Piauí
2206001;Demais Municípios do Piauí
2206050;Demais Municípios do Piauí
2206100;Demais Municípios do Piauí
2206209;Demais Municípios do Piauí
2206308;Demais Municípios do Piauí
2206357;Demais Municípios do Piauí
2206407;Demais Municípios do Piauí
2206506;Demais Municípios do Piauí
2206605;Demais Municípios do Piauí
2206654;Demais Municípios do Piauí
2206670;Demais Municípios do Piauí
2206696;Demais Municípios do Piauí
2206704;Demais Municípios do Piauí
